iter	MAE
0	55975.23371
1	51944.68237
2	48253.34374
3	44926.55265
4	41706.83914
5	38811.80119
6	36142.83599
7	33665.90425
8	31393.55068
9	29394.77677
10	27575.18147
11	25785.90264
12	24397.48796
13	23084.32155
14	21971.10736
15	20932.79445
16	19959.69315
17	19059.84659
18	18279.44211
19	17630.63514
20	17052.83533
21	16487.15737
22	15960.77393
23	15488.33092
24	15026.72985
25	14584.18202
26	14172.19707
27	13834.75428
28	13564.32894
29	13268.15655
30	13094.61103
31	12881.82259
32	12696.98758
33	12545.59301
34	12366.8467
35	12243.93348
36	12087.71659
37	11972.4852
38	11838.8524
39	11731.89603
40	11662.32992
41	11560.55253
42	11481.97898
43	11371.66462
44	11317.91188
45	11225.48162
46	11151.51734
47	11110.32496
48	11038.56134
49	10970.38736
50	10911.05564
51	10873.84043
52	10826.70845
53	10791.45218
54	10753.45152
55	10725.48876
56	10679.37711
57	10624.2131
58	10592.46779
59	10556.15438
60	10515.65541
61	10475.86089
62	10454.66666
63	10420.30167
64	10394.61648
65	10372.53071
66	10347.88755
67	10327.65841
68	10292.75125
69	10266.13021
70	10249.76137
71	10216.26263
72	10201.65858
73	10172.67189
74	10151.34143
75	10128.48014
76	10112.50041
77	10086.10904
78	10069.18051
79	10049.97765
80	10037.32406
81	10013.81875
82	9989.453609
83	9976.042965
84	9947.175541
85	9935.207626
86	9904.613682
87	9890.601883
88	9866.962311
89	9808.897808
90	9786.37113
91	9777.251937
92	9768.337149
93	9758.626938
94	9752.384436
95	9740.591264
96	9727.142684
97	9717.702797
98	9686.04617
99	9668.429837
