iter	Passed	Remaining
0	2	280
1	3	181
2	4	156
3	5	134
4	6	122
5	7	112
6	8	108
7	9	106
8	10	101
9	10	97
10	11	93
11	12	90
12	13	87
13	13	84
14	14	82
15	15	79
16	15	77
17	16	75
18	17	74
19	18	72
20	18	71
21	19	69
22	20	68
23	21	66
24	21	65
25	22	64
26	23	64
27	24	63
28	26	65
29	27	64
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	51	41
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	30
69	67	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
